Country,GDP,Population,Enjoyment,Well-Rested,Learned,Smiled,Respect,Positive Emotions Index
Malawi,1867.67384372705,20931751,44.0,68.0,50.0,62.0,70.0,58.8
Malaysia,37247.7011006116,34308525,88.0,90.0,53.0,85.0,95.0,82.2
Mali,2725.95585912297,23293698,77.0,71.0,41.0,80.0,88.0,71.4
Malta,62445.6814904198,553214,60.0,73.0,57.0,77.0,91.0,71.6
Mauritania,6934.27792752444,4862989,70.0,69.0,63.0,79.0,84.0,73.0
Mauritius,29498.4705238746,1261041,65.0,63.0,52.0,77.0,93.0,70.0
Mexico,25601.6255471097,128455567,86.0,82.0,69.0,88.0,96.0,84.2
"Moldova, Republic of",17384.3768896227,2486891,62.0,69.0,56.0,53.0,89.0,65.8
Mongolia,18108.0035496665,3447157,70.0,85.0,27.0,64.0,83.0,65.8
Montenegro,31216.3797861973,616177,54.0,54.0,38.0,51.0,90.0,57.4
Morocco,9743.30859375,37840044,48.0,62.0,44.0,69.0,89.0,62.4
Mozambique,1657.10971675131,33897354,53.0,70.0,62.0,69.0,86.0,68.0
Myanmar,5905.24311968839,54577997,71.0,66.0,42.0,76.0,68.0,64.6
Namibia,12756.5416326288,2604172,48.0,78.0,60.0,83.0,85.0,70.8
Nepal,5181.84167429648,30896590,62.0,68.0,28.0,47.0,70.0,55.0
Netherlands (Kingdom of the),78215.0663038601,17879488,83.0,72.0,47.0,78.0,94.0,74.8
New Zealand,54109.8009972684,5223100,80.0,70.0,64.0,77.0,93.0,76.8
Nicaragua,8043.73711482076,7046310,75.0,75.0,71.0,85.0,97.0,80.6
Niger,1817.337952963,27202843,72.0,65.0,66.0,86.0,85.0,74.8
Nigeria,6318.15923280436,223804632,60.0,64.0,72.0,84.0,84.0,72.8
North Macedonia,24872.740929988,1811980,65.0,56.0,32.0,55.0,89.0,59.4
Northern Cyprus,,,39.0,50.0,19.0,38.0,83.0,45.8
Norway,104459.811922794,5519594,84.0,64.0,70.0,73.0,95.0,77.2
Pakistan,6212.03759474523,240485658,56.0,57.0,30.0,65.0,90.0,59.6
Panama,39695.0819584697,4468087,87.0,84.0,72.0,88.0,96.0,85.4
Paraguay,17465.8609710395,6861524,88.0,85.0,71.0,88.0,97.0,85.8
Peru,16717.3831036941,34352719,79.0,71.0,68.0,79.0,92.0,77.8
Philippines,10755.49885154,117337368,80.0,74.0,75.0,85.0,95.0,81.8
Poland,49463.9911694249,36685849,67.0,66.0,31.0,63.0,88.0,63.0
Portugal,48758.8570221636,10525347,63.0,69.0,57.0,75.0,97.0,72.2
Republic of the Congo,6932.93820935238,6106869,59.0,70.0,50.0,65.0,76.0,64.0
Romania,47903.341148649,19056116,71.0,58.0,46.0,69.0,90.0,66.8
Russian Federation,44103.546875,143826130,63.0,59.0,56.0,66.0,90.0,66.8
Saudi Arabia,54991.7231800239,36947025,76.0,84.0,63.0,81.0,94.0,79.6
Senegal,4833.03254280993,17763163,78.0,70.0,79.0,90.0,92.0,81.8
Serbia,27401.7890745341,6618026,62.0,56.0,43.0,48.0,89.0,59.6
Sierra Leone,1846.6838573638,8791092,33.0,56.0,50.0,66.0,75.0,56.0
Singapore,141500.220277358,5917648,72.0,75.0,51.0,74.0,92.0,72.8
Slovakia,44650.2028305074,5426740,76.0,69.0,48.0,65.0,88.0,69.2
Slovenia,54947.47013724,2120937,60.0,71.0,58.0,67.0,94.0,70.0
Somalia,1611.2841690175,18143378,83.0,73.0,41.0,83.0,90.0,74.0
South Africa,15847.4275604525,60414495,77.0,76.0,51.0,82.0,85.0,74.2
South Korea,54033.1599772519,51712619,68.0,80.0,42.0,70.0,75.0,67.0
Spain,52779.2340573703,48373336,60.0,74.0,63.0,73.0,94.0,72.8
Sri Lanka,14455.3016168039,22037000,65.0,56.0,65.0,82.0,83.0,70.2
State of Palestine,5888.39431103355,5165775,63.0,61.0,41.0,69.0,91.0,65.0
Sweden,70206.6116365115,10536632,80.0,63.0,66.0,76.0,94.0,75.8
Switzerland,92980.401876095,8849852,80.0,75.0,70.0,74.0,91.0,78.0
"Taiwan, Province of China",,,84.0,75.0,57.0,80.0,89.0,77.0
Tajikistan,5082.17180293729,10143543,65.0,85.0,49.0,72.0,95.0,73.2
Tanzania,3972.60766601563,67438106,72.0,73.0,58.0,80.0,81.0,72.8
Thailand,23422.9241932571,71801279,81.0,78.0,75.0,83.0,92.0,81.8
Togo,3155.32000038484,9053799,52.0,57.0,51.0,59.0,71.0,58.0
Tunisia,13681.6110894965,12458223,43.0,54.0,26.0,69.0,91.0,56.6
Türkiye,44151.0248931869,85326000,42.0,56.0,23.0,37.0,79.0,47.4
Uganda,3098.11101633488,48582334,71.0,73.0,62.0,84.0,84.0,74.8
Ukraine,18007.486328125,37000000,54.0,44.0,43.0,48.0,91.0,56.0
United Arab Emirates,83902.6711259525,9516871,70.0,77.0,58.0,69.0,82.0,71.2
United Kingdom of Great Britain and Northern Ireland,58906.2388575418,68350000,81.0,73.0,62.0,73.0,88.0,75.4
United States of America,81695.1870713302,334914895,78.0,67.0,60.0,73.0,89.0,73.4
Uruguay,34061.5129496746,3423108,83.0,71.0,56.0,85.0,98.0,78.6
Uzbekistan,9724.73400808025,36412350,86.0,84.0,56.0,80.0,96.0,80.4
Venezuela,,28838499,74.0,76.0,69.0,84.0,97.0,80.0
Vietnam,15194.3427834845,98858950,71.0,92.0,53.0,88.0,97.0,80.2
Yemen,,34449825,51.0,53.0,31.0,51.0,80.0,53.2
Zambia,4125.62555555083,20569737,68.0,67.0,47.0,79.0,88.0,69.8
Zimbabwe,3899.89923349249,16665409,58.0,62.0,46.0,79.0,84.0,65.8
